unidade;ano;mes;media_permanencia
HRJP;2024;3;9,827906976744186
HRJP;2024;4;9,134490238611713
HRJP;2024;5;9,779017857142858
HRJP;2024;6;10,13170731707317
HRJP;2024;7;9,974160206718347
HRJP;2024;8;9,828804347826088
HRJP;2024;9;9,16945107398568
HRJP;2024;10;8,0418410041841
HRJP;2024;11;7,935643564356436
HRJP;2024;12;8,301333333333334
HRJP;2025;1;7,465714285714285
HRJP;2025;2;8,595505617977528
HRJP;2025;3;8,030237580993521
HRJP;2025;4;7,912854030501089
HRJP;2025;5;8,245472837022133
HRJP;2025;6;8,668171557562077
HRJP;2025;7;7,657079646017699
HRJP;2025;8;7,708624708624709
HRJP;2025;9;8,075688073394495
HRJP;2025;10;7,282744282744282
HRJP;2025;11;7,687058823529412
HRJP;2025;12;7,151079136690647
IRS;2022;1;22,314606741573034
IRS;2022;2;24,50769230769231
IRS;2022;3;23,64423076923077
IRS;2022;4;27,01063829787234
IRS;2022;5;21,132231404958677
IRS;2022;6;25,419354838709676
IRS;2022;7;25,49438202247191
IRS;2022;8;23,861702127659573
IRS;2022;9;22,652631578947368
IRS;2022;10;26,84269662921348
IRS;2022;11;21,82608695652174
IRS;2022;12;28,34328358208955
IRS;2023;1;23,86315789473684
IRS;2023;2;25,192307692307693
IRS;2023;3;24,927835051546392
IRS;2023;4;28,153846153846153
IRS;2023;5;22,07547169811321
IRS;2023;6;25,0
IRS;2023;7;24,633333333333333
IRS;2023;8;30,697674418604652
IRS;2023;9;25,688172043010752
IRS;2023;10;21,603603603603602
IRS;2023;11;23,979591836734695
IRS;2023;12;24,229885057471265
IRS;2024;1;25,023529411764706
IRS;2024;2;20,814432989690722
IRS;2024;3;20,833333333333332
IRS;2024;4;24,253333333333334
IRS;2024;5;23,463414634146343
IRS;2024;6;27,7972972972973
IRS;2024;7;23,609756097560975
IRS;2024;8;27,328767123287673
IRS;2024;9;23,180555555555557
IRS;2024;10;25,973684210526315
IRS;2024;11;27,695652173913043
IRS;2024;12;22,6231884057971
IRS;2025;1;22,094594594594593
IRS;2025;2;31,442307692307693
IRS;2025;3;23,35632183908046
IRS;2025;4;29,764705882352942
IRS;2025;5;24,103448275862068
IRS;2025;6;28,426666666666666
IRS;2025;7;22,5
IRS;2025;8;25,753424657534246
IRS;2025;9;29,208955223880597
IRS;2025;10;24,054347826086957
IRS;2025;11;27,45945945945946
IRS;2025;12;22,454545454545453
MOV;2022;1;4,855626326963907
MOV;2022;2;4,584199584199585
MOV;2022;3;4,406810035842294
MOV;2022;4;4,401606425702811
MOV;2022;5;4,259194395796848
MOV;2022;6;4,292504570383913
MOV;2022;7;4,0660869565217395
MOV;2022;8;4,4019047619047615
MOV;2022;9;4,454365079365079
MOV;2022;10;4,319672131147541
MOV;2022;11;4,315789473684211
MOV;2022;12;4,081996434937611
MOV;2023;1;4,355640535372849
MOV;2023;2;4,365234375
MOV;2023;3;4,644951140065147
MOV;2023;4;5,211895910780669
MOV;2023;5;5,054945054945055
MOV;2023;6;4,794303797468355
MOV;2023;7;4,751724137931035
MOV;2023;8;4,931552587646077
MOV;2023;9;5,032085561497326
MOV;2023;10;4,3801261829652995
MOV;2023;11;4,650420168067227
MOV;2023;12;4,2708661417322835
MOV;2024;1;4,792618629173989
MOV;2024;2;4,485148514851486
MOV;2024;3;4,581538461538462
MOV;2024;4;4,3462783171521036
MOV;2024;5;4,261489698890649
MOV;2024;6;4,512544802867383
MOV;2024;7;4,451669595782074
MOV;2024;8;4,580034423407917
MOV;2024;9;4,654458598726115
MOV;2024;10;5,072222222222222
